licence_no,product_name,dosage,times_per_day,hourly_interval,max_dosage_per_day,side_effects,drug_interaction,contraindication
SIN05584P,ANAREX TABLETS,2 tablets,3,6 hours,6 tablets,"dizziness, drowsiness, dry mouth, chest tightness, rapid heart rate, urinary retention, or difficulty urinating","juxtapid mipomersen, Ketoconazole, Leflunomide, and Prilocaine","allergic, kidney disease, urinary retention, prostate enlargement, myasthenia gravis, glaucoma"
SIN13069P,ATRIZIN TABLET 10 MG,1 tablet,1,24 hours,1 tablets,"affect alertness (drowsiness and tiredness), headache, dry mouth, skin and eyes, difficulty in passing urine, discontinuing cetirizine after long-term use may result in rare but serious skin itchiness","alcohol, benzodiazepines or opioids, gabapentin, verapamil, erdafitinib,","hypersensitivity to hydroxyzine, kidney failure, have a condition that means you have difficulty peeing, epilepsy,  due to have an allergy test"
SIN02657P,DEXCOPHAN TABLET 15 mg,2 tablets,3,6-8 hours,8 tablets (120mg),"drowsiness or dizziness, nevoursness, restlessness, nausea, vomiting, stomach pain","MOAI, CYP2D6 inhibitors, SSRI, SNRI, alcohol, benzodiazepines, opioids, or gabapentinoids, bupropion","allergic to ingredients, acute asthma attack, respiratory insufficiency/depression, respiratory risked individual, hepatic impairment, chronic cough (smoking, emphysema), cough with too much phlegm "
SIN16773P,ALVERSIME SOFT CAPSULES,1 tablet,2-3,before meals / when in pain,-,"nausea, headache, dizziness, hives, allergic reactions, signs suggestive of liver dysfunction, ",NIL,"pregnancy, breast feeding, allergic to ingredients, "
SIN10626P,SOREN TABLET 275 mg,1-2 tablet ,2,"before meals, 12 hours",5 tablets,"dyspepsia, nausea, dizziness, elevated liver enzymes, increased blood pressure, diminished renal function, rash, increased bleeding risk, and GI ulcers, blood dyscrasias, Stevens-Johnson syndrome, myocardial infarction, stroke, heart failure, and anaphylaxis","blood-thinning medications, diuretics, certain blood pressure medications, certain antidepressants","hypersensitivity to NSAID, ASA- or NSAID-induced asthma, pregnancy, perioperative use for coronary artery bypass graft (CABG) surgery, recent myocardial infarction or a history of heart disease, hypertension, congestive heart failure, fluid retention or edema, dehydration, peptic ulcer disease or GERD, bleeding or coagulopathy conditions, hepatic disease, renal disease, asthma, sodium restrictions, chronic alcohol use, tobacco use, elderly or geriatric patients, females actively trying to conceive"
SIN02854P,Hyomide Tablet 10 Mg,1-2 tablet,3-4,6-8 hours,10 tablets (100mg),"feeling sleepy or dizzy, a dry mouth, constipation, fast heart rate, blurred vision, problems peeing","CNS depressants, anticholinergic drugs, dopamine agonists, beta-adrenergic agonist","angle closure glaucoma, myasthenia gravis, prostatic hypertrophy with urinary retention, gastrointestinal obstruction, megacolon, pyloric stenosis or mechanical stenosis in GI tract, paralytic/obstructive ileus, epilepsy, cardiovascular disease, ulcerative colitis, pregnancy, "
SIN05587P,Vacontil Capsule 2 Mg,1 tablet ,3,2 hours (until 12 hours have passed without a loose bowel movement),8 tablets ,"constipation, nausea, headaches, farting, diziness, dry mouth, indigestion, stomach pain, bloating, urinary retention, constricted pupils","ritonavir, quinidine, oral desmopressin, itraconacole/ketoconazole, gemfibrozil, clozapine","children under 2 years, blood in stools, high temperature, lower bowel inflammation, constiaton, swollen abdomen (due to HIV), hypersensitivity to loperamide, severe diarrhoea after antibiotics, ulverative colitis, liver problems, pregnancy"
SIN05328P,Panamol Tablets 500 Mg,2 tablet,3-4,4-6 hours,8 tablets ,very rarely causes side effects,NIL,"severe hepatic impairment, active liver disease, allergic, regularly drink more than the maximum amount of alcohol recommended (14 units a week)"
SIN06793P,Perofen 200 Tablet 200 Mg,1-2 tablet,3-4,4-6 hours,6 tablets,"hypertension, platelet aggregation, prolonged bleeding time, elevated transaminase levels, hyperkalaemia, drowsiness, dizziness, blurred or diminished vision, scotomata, changes in colour vision, photosensitivity, renal papillary necrosis, sodium and fluid retention, impairment of female fertility, aseptic meningitis, severe blood dyscrasias, tinnitus, nausea, vomiting, abdominal pain, flatulence, diarrhoea, dyspepsia, constipation, gastrointestinal bleeding, fatigue, increased lactate dehydrogenase, hypokalaemia, hypernatraemia, hypoalbuminaemia, headache, nervousness, urinary retention, rash, pruritus, hypotension, gastritis, ulceration, reduced renal function, dehydration","ACE inhibitors, Aspirin, Diuretics, Lithium, Anticoagulants, Oral corticosteroid, SSRI, cardiac glycosides, methotrexate, aminoglycosides, ciclosporin, tacrolimus, quinolone, sulfonylureas, zidovudine, CYP2C9 inhibitors","hypersensitivity, GI bleed, perforation, or ulceration, peptic ulcer, GI haemorrhage, conditions causing increased tendency to bleed, cardiovascular thrombotic events, coronary artery bypass, "
SIN02533P,Chlorpheniramine Tablet 4 Mg,1 tablet ,4-6,4-6 hours,6 tablets,"sedation, excitation (young children), blurred vision, dry mouth, nausea, vomiting, diarrhoea, epigastric pain, fatigue, lassitude, anorexia, increased appetite, somnolence, disturbance in attention, abnormal coordination, dizziness, hedache, ","CNS depressants, phenytoin, anticholinergics, MAOIs, SSRIs, ","hypersensitivity, angle closure glaucoma, urinary retention, epilepsy, lung conditions, asthma, heart disease, high blood pressure, enlarged prostate, liver disease, kidney disease, stenosing peptic ulcer, bladder neck, pyloroduodenal obstruction"
